ds,y
2017-04-28,137785
2017-04-29,78468
2017-04-30,138
2017-05-01,86762
2017-05-02,130349
2017-05-03,74006
2017-05-04,130986
2017-05-05,41049
2017-05-06,54347
2017-05-07,68
2017-05-08,115437
2017-05-09,85000
2017-05-10,119193
2017-05-11,129299
2017-05-12,130090
2017-05-13,79924
2017-05-14,66
2017-05-15,114247
2017-05-16,126674
2017-05-17,125927
2017-05-18,120728
2017-05-19,126992
2017-05-20,74031
2017-05-21,127
2017-05-22,111406
2017-05-23,123039
2017-05-24,127186
2017-05-25,117765
2017-05-26,128226
2017-05-27,65322
2017-05-28,101
2017-05-29,114389
2017-05-30,126437
2017-05-31,123385
2017-06-01,119528
2017-06-02,129814
2017-06-03,70007
2017-06-04,133
2017-06-05,121207
2017-06-06,70588
2017-06-07,116888
2017-06-08,126128
2017-06-09,135330
2017-06-10,68333
2017-06-11,88
2017-06-12,121917
2017-06-13,128685
2017-06-14,119075
2017-06-15,116830
2017-06-16,133023
2017-06-17,67915
2017-06-18,153
2017-06-19,124146
2017-06-20,122603
2017-06-21,122576
2017-06-22,121247
2017-06-23,124946
2017-06-24,68049
2017-06-25,140
2017-06-26,113302
2017-06-27,120372
2017-06-28,126024
2017-06-29,116977
2017-06-30,122598
2017-07-01,74673
2017-07-02,188
2017-07-03,122383
2017-07-04,131484
2017-07-05,128673
2017-07-06,131961
2017-07-07,134634
2017-07-08,76770
2017-07-09,102
2017-07-10,108556
2017-07-11,129297
2017-07-12,119594
2017-07-13,119342
2017-07-14,121440
2017-07-15,86759
2017-07-16,190
2017-07-17,123236
2017-07-18,125437
2017-07-19,132225
2017-07-20,126140
2017-07-21,132249
2017-07-22,72872
2017-07-23,105
2017-07-24,114016
2017-07-25,128117
2017-07-26,128003
2017-07-27,123514
2017-07-28,115056
2017-07-29,70196
2017-07-30,160
2017-07-31,98208
2017-08-01,113379
2017-08-02,109895
2017-08-03,105219
2017-08-04,112687
2017-08-05,63247
2017-08-06,150
2017-08-07,113495
2017-08-08,114887
2017-08-09,122892
2017-08-10,115629
2017-08-11,128383
2017-08-12,64281
2017-08-13,82
2017-08-14,116008
2017-08-15,65187
2017-08-16,124162
2017-08-17,129431
2017-08-18,134715
2017-08-19,73471
2017-08-20,82
2017-08-21,105468
2017-08-22,122850
2017-08-23,126406
2017-08-24,113105
2017-08-25,126338
2017-08-26,60424
2017-08-27,64
2017-08-28,112739
2017-08-29,125844
2017-08-30,125465
2017-08-31,118661
2017-09-01,128774
2017-09-02,68293
2017-09-03,64
2017-09-04,119561
2017-09-05,133530
2017-09-06,123970
2017-09-07,125822
2017-09-08,136683
2017-09-09,73561
2017-09-10,76
2017-09-11,112107
2017-09-12,134228
2017-09-13,129565
2017-09-14,124794
2017-09-15,139094
2017-09-16,74255
2017-09-17,118
2017-09-18,119464
2017-09-19,136281
2017-09-20,124427
2017-09-21,126811
2017-09-22,133629
2017-09-23,94235
2017-09-24,2338
2017-09-25,128233
2017-09-26,142932
2017-09-27,137390
2017-09-28,127700
2017-09-29,129829
2017-09-30,104358
2017-10-01,2972
2017-10-02,92309
2017-10-03,6051
2017-10-05,1239
2017-10-06,20150
2017-10-07,45028
2017-10-08,53
