ds,y
2017-05-01,258269
2017-05-02,1719
2017-05-03,1686
2017-05-04,1750
2017-05-05,1445
2017-05-06,980
2017-05-07,913
2017-05-08,2074
2017-05-09,1992
2017-05-10,2450
2017-05-11,1961
2017-05-12,2624
2017-05-13,1149
2017-05-14,807
2017-05-15,6495
2017-05-16,2798
2017-05-17,2159
2017-05-18,1949
2017-05-19,2144
2017-05-20,4953
2017-05-21,1065
2017-05-22,1739
2017-05-23,2009
2017-05-24,2248
2017-05-25,9070
2017-05-26,7461
2017-05-27,1153
2017-05-28,840
2017-05-29,2462
2017-05-30,2777
2017-05-31,270637
2017-06-01,255516
2017-06-02,2996
2017-06-03,2139
2017-06-04,961
2017-06-05,1685
2017-06-06,1754
2017-06-07,1886
2017-06-08,2072
2017-06-09,2191
2017-06-10,1266
2017-06-11,241
2017-06-12,1330
2017-06-13,1354
2017-06-14,884
2017-06-15,7341
2017-06-16,2975
2017-06-17,1375
2017-06-18,865
2017-06-19,2866
2017-06-20,4803
2017-06-21,2692
2017-06-22,2679
2017-06-23,1832
2017-06-24,1318
2017-06-25,27021
2017-06-26,4143
2017-06-27,2616
2017-06-28,2187
2017-06-29,2308
2017-06-30,271270
2017-07-01,283416
2017-07-02,849
2017-07-03,1957
2017-07-04,1804
2017-07-05,2443
2017-07-06,1696
2017-07-07,1359
2017-07-08,1229
2017-07-09,513
2017-07-10,3351
2017-07-11,2277
2017-07-12,1919
2017-07-13,2444
2017-07-14,2422
2017-07-15,6428
2017-07-16,638
2017-07-17,2682
2017-07-18,1685
2017-07-19,2086
2017-07-20,6166
2017-07-21,2417
2017-07-22,889
2017-07-23,1111
2017-07-24,2294
2017-07-25,27986
2017-07-26,3499
2017-07-27,2934
2017-07-28,1870
2017-07-29,1537
2017-07-30,2527
2017-07-31,280958
2017-08-01,253600
2017-08-02,2030
2017-08-03,2422
2017-08-04,1326
2017-08-05,1101
2017-08-06,941
2017-08-07,1606
2017-08-08,1750
2017-08-09,2388
2017-08-10,2917
2017-08-11,2222
2017-08-12,1294
2017-08-13,1017
2017-08-14,1692
2017-08-15,3142
2017-08-16,1416
2017-08-17,2615
2017-08-18,2264
2017-08-19,884
2017-08-20,4278
2017-08-21,2363
2017-08-22,2538
2017-08-23,2143
2017-08-24,2284
2017-08-25,27253
2017-08-26,4216
2017-08-27,1180
2017-08-28,1932
2017-08-29,2137
2017-08-30,2397
2017-08-31,305092
2017-09-01,303428
2017-09-02,1405
2017-09-03,890
2017-09-04,1822
2017-09-05,1936
2017-09-06,2103
2017-09-07,2137
2017-09-08,3174
2017-09-09,1755
2017-09-10,922
2017-09-11,3067
2017-09-12,2464
2017-09-13,2490
2017-09-14,2489
2017-09-15,5051
2017-09-16,1076
2017-09-17,1304
2017-09-18,3032
2017-09-19,2426
2017-09-20,6453
2017-09-21,3610
2017-09-22,2472
2017-09-23,1528
2017-09-24,1160
2017-09-25,32162
2017-09-26,5241
2017-09-27,3853
2017-09-28,3475
