ds,y
2017-05-01,272416
2017-05-02,227529
2017-05-03,138779
2017-05-04,192180
2017-05-05,99386
2017-05-06,84689
2017-05-07,37529
2017-05-08,201234
2017-05-09,147564
2017-05-10,207039
2017-05-11,211252
2017-05-12,205487
2017-05-13,99140
2017-05-14,35366
2017-05-15,205084
2017-05-16,209697
2017-05-17,207252
2017-05-18,213703
2017-05-19,205207
2017-05-20,109327
2017-05-21,38272
2017-05-22,194714
2017-05-23,201433
2017-05-24,200669
2017-05-25,285581
2017-05-26,204742
2017-05-27,98750
2017-05-28,36203
2017-05-29,197722
2017-05-30,210032
2017-05-31,654967
2017-06-01,330887
2017-06-02,214150
2017-06-03,103915
2017-06-04,39012
2017-06-05,187773
2017-06-06,120921
2017-06-07,200394
2017-06-08,212803
2017-06-09,212003
2017-06-10,93779
2017-06-11,36772
2017-06-12,199133
2017-06-13,207775
2017-06-14,201275
2017-06-15,253391
2017-06-16,207974
2017-06-17,98449
2017-06-18,37648
2017-06-19,193651
2017-06-20,216700
2017-06-21,207249
2017-06-22,206907
2017-06-23,203198
2017-06-24,94397
2017-06-25,64213
2017-06-26,196654
2017-06-27,213963
2017-06-28,207445
2017-06-29,218692
2017-06-30,606419
2017-07-01,211806
2017-07-02,37776
2017-07-03,205213
2017-07-04,216215
2017-07-05,220730
2017-07-06,209702
2017-07-07,198342
2017-07-08,103336
2017-07-09,40229
2017-07-10,209415
2017-07-11,217856
2017-07-12,207511
2017-07-13,214364
2017-07-14,213368
2017-07-15,123992
2017-07-16,42352
2017-07-17,199670
2017-07-18,217532
2017-07-19,212227
2017-07-20,225780
2017-07-21,206454
2017-07-22,101431
2017-07-23,39960
2017-07-24,202649
2017-07-25,242579
2017-07-26,214611
2017-07-27,231673
2017-07-28,215272
2017-07-29,120292
2017-07-30,43784
2017-07-31,667113
2017-08-01,565943
2017-08-02,192314
2017-08-03,190611
2017-08-04,187428
2017-08-05,107478
2017-08-06,40290
2017-08-07,191268
2017-08-08,204432
2017-08-09,202329
2017-08-10,216081
2017-08-11,218187
2017-08-12,103270
2017-08-13,39745
2017-08-14,181343
2017-08-15,126772
2017-08-16,215209
2017-08-17,214633
2017-08-18,206714
2017-08-19,114192
2017-08-20,49092
2017-08-21,207612
2017-08-22,210351
2017-08-23,198241
2017-08-24,199235
2017-08-25,224020
2017-08-26,101799
2017-08-27,38524
2017-08-28,206047
2017-08-29,226220
2017-08-30,235557
2017-08-31,611386
2017-09-01,354726
2017-09-02,119565
2017-09-03,38922
2017-09-04,223795
2017-09-05,233034
2017-09-06,221603
2017-09-07,230635
2017-09-08,228405
2017-09-09,109381
2017-09-10,40123
2017-09-11,214927
2017-09-12,234924
2017-09-13,234616
2017-09-14,241832
2017-09-15,247055
2017-09-16,120089
2017-09-17,40906
2017-09-18,236139
2017-09-19,240677
2017-09-20,258123
2017-09-21,245358
2017-09-22,244050
2017-09-23,123679
2017-09-24,44857
2017-09-25,276915
2017-09-26,258807
2017-09-27,255869
2017-09-28,256032
2017-09-29,254507
2017-09-30,579769
2017-10-01,181650
2017-10-02,156534
2017-10-03,38453
2017-10-04,2226
2017-10-05,15619
2017-10-06,72689
2017-10-07,67406
2017-10-08,35607
2017-10-09,120380
2017-10-10,227852
2017-10-11,233059
